date,mpg,gallons,USD,miles,ethanol,octane
2017-08-21,22.771946245904928,14.957,34.09,340.6,10,87
2017-09-03,22.019052490249983,15.641,40.65,344.4,10,87
2017-09-14,19.726474561008555,17.768,45.25,350.5,10,87
2017-09-15,32.102081934184014,2.978,7.44,95.6,10,87
2017-09-17,18.629821531375935,8.685,21.7,161.8,10,87
2017-09-25,18.895887365691,16.194,39.17,306,10,87
2017-10-10,18.754235721766985,16.231,39.26,304.4,10,87
2017-10-25,18.83705319684511,11.918,28.11,224.5,10,87
2017-11-01,17.75598038234411,9.991,27.37,177.4,10,87
2017-11-12,17.37314943692269,15.806,39.5,274.6,10,87
2017-11-18,18.843202096462218,16.027,40.05,302,10,87
2017-11-26,18.891048939227453,11.831,28.38,223.5,10,87
2017-12-01,16.115594897162197,11.523,28.68,185.7,10,87
2017-12-01,22.686204540277885,13.171,32.39,298.8,10,87
2017-12-03,21.170432675172858,14.029,34.36,297,0,87
2017-12-04,17.797993935152785,8.574,18.6,152.6,0,87
2017-12-17,15.019011406844106,13.676,36.64,205.4,10,87
2017-12-17,18.083333333333332,7.2,19.5,130.2,0,87
2017-12-17,17.787041862080947,11.514,26.47,204.8,0,87
2017-12-17,18.287703326862573,14.939,41.19,273.2,10,87
2017-12-22,18.36108940058919,16.633,42.23,305.4,10,87
2017-12-26,17.446882017619625,11.578,30.67,202,0,87
2017-12-26,17.1118770644837,13.926,33.41,238.3,0,89
2017-12-26,16.699969724492885,16.515,38.98,275.8,10,87
2018-01-15,14.993374140215813,15.847,37.22,237.6,10,87
2018-06-08,18.506218662499187,15.357,44.52,284.2,10,87
2018-06-10,21.952316689158796,15.561,45.11,341.6,10,87
2018-06-18,18.913313977602655,16.877,44.2,319.2,0,87
2018-06-21,21.579907394415606,14.254,38.47,307.6,10,87
2018-06-26,21.48254495995164,13.234,34,284.3,10,87
2018-06-29,19.623418652544867,10.197,28.13,200.1,10,87
2018-07-01,22.399807244398037,12.451,34.1,278.9,10,87
2018-07-02,22.070534698521048,13.185,35.59,291,0,87
2018-07-05,21.957618567103932,14.865,35.66,326.4,0,87
2018-07-11,21.143541215368828,17.542,49.1,370.9,0,87
2018-07-13,20.844958150657636,17.563,47.4,366.1,0,87
2018-07-19,18.573090345095,12.895,33.9,239.5,10,87
2018-07-19,21.998799519807925,6.664,18.12,146.6,10,87
2018-07-19,24.170255890549786,7.894,22.1,190.8,0,87
2018-07-22,19.11451269133889,10.322,27.86,197.3,0,87
2018-07-22,21.213004811196967,6.859,18.24,145.5,10,87
2018-07-22,21.791088816760105,6.778,18.43,147.7,10,87
2018-07-23,20.71418982413747,7.449,18.99,154.3,0,87
2018-07-28,17.941109335768086,8.762,24.09,157.2,10,87
2018-08-07,21.539483517395997,12.043,33.23,259.4,10,87
2018-08-10,20.284510010537407,11.388,31.08,231,10,87
2018-08-10,22.78853601859024,6.455,17.42,147.1,10,87
2018-08-11,20.90360919339334,11.443,33.4,239.2,0,87
2018-08-14,26.24070966195157,8.342,23.77,218.9,0,87
2018-08-16,22.59072338380197,12.483,34.4,282,0,87
2018-08-23,19.063261029619984,17.657,41.12,336.6,0,87
2018-08-30,17.39090575724239,10.908,27.7,189.7,10,87
2018-08-31,22.922669125273714,8.677,23.42,198.9,10,87
2018-09-02,22.157609785442148,9.974,30.91,221,10,87
2018-09-02,20.265195963388873,8.522,23.17,172.7,10,87
2018-09-06,21.446087017445528,14.273,36.24,306.1,NA,87
2018-09-13,18.584244646715998,15.271,38.16,283.8,10,87
2018-09-17,20.293867120954005,14.088,36.61,285.9,10,87
2018-09-25,18.210520045273128,16.787,44.47,305.7,10,87
2018-09-30,20.608945103664105,15.338,42.93,316.1,10,87
2018-10-04,18.113026819923373,10.44,27.97,189.1,10,87
2018-10-11,18.46661170651278,13.343,34.55,246.4,10,87
2018-10-18,18.698523410254506,13.477,33.94,252,10,87
2018-10-24,20.907768402676755,17.185,46.9,359.3,10,87
2018-10-28,19.941281001313452,12.943,31.83,258.1,10,87
2018-11-05,18.205421916762123,13.095,29.71,238.4,10,87
2018-11-16,17.802233371095646,12.358,29.03,220,10,87
2018-11-16,17.16610029863042,9.711,26.31,166.7,10,87
2018-11-16,21.165576541486,13.607,36.04,288,0,87
2018-11-24,16.7991017446882,11.578,31.5,194.5,0,87
2018-11-24,19.4206008583691,11.184,26.61,217.2,0,87
2018-11-30,17.808129227132444,15.229,20.75,271.2,0,87
2018-12-07,16.906846859270495,14.503,27.98,245.2,10,87
2018-12-14,17.61559813147383,14.771,28.64,260.2,10,87
2018-12-20,17.487608426270135,12.912,26.97,225.8,10,87
2018-12-22,16.926108374384235,15.225,32.72,257.7,10,87
2018-12-24,18.03955043391663,14.058,29.5,253.6,0,87
2018-12-30,17.524570024570025,16.28,33.19,285.3,0,87
2019-01-01,17.39069309714607,7.113,14.93,123.7,0,87
2019-01-03,18.46496106785317,17.081,37.34,315.4,10,87
2019-01-07,19.27109335996006,16.024,33.63,308.8,10,87
2019-01-11,17.413253243018723,15.649,28.93,272.5,10,87
2019-01-16,17.24573063010011,11.887,22.34,205,10,87
2019-01-22,17.472687545520756,13.73,26.07,239.9,10,87
2019-01-28,16.974252120851315,13.438,25.38,228.1,10,87
2019-02-02,14.095528455284551,9.84,18.39,138.7,10,87
2019-02-07,18.565097616481015,16.698,36.72,310,10,87
2019-02-13,15.87524765130696,15.647,34.31,248.4,10,87
2019-02-20,16.372321035761424,15.911,36.58,260.5,10,87
2019-02-27,16.404873189793886,13.051,31.31,214.1,10,87
2019-03-05,16.982417881968107,14.674,35.2,249.2,10,87
2019-03-13,16.554668353229506,12.649,31.61,209.4,10,87
2019-03-18,17.970920840064622,15.475,39.45,278.1,10,87
2019-03-21,21.25534950071327,11.917,32.76,253.3,0,88
2019-03-21,20.276972022082905,10.687,27.78,216.7,0,87
2019-03-24,19.6262383668568,13.324,32.38,261.5,0,87
2019-04-07,16.561293571308678,17.873,45.93,296,10,87
2019-04-13,18.461346943856594,8.033,20.48,148.3,10,87
2019-04-28,14.91821985545835,13.145,33.9,196.1,10,87
2019-05-02,18.538556808552244,15.341,38.34,284.4,10,87
2019-05-06,20.04760359190739,9.243,23.79,185.3,10,87
2019-05-10,15.702688990360222,7.884,21.91,123.8,10,87
2019-05-20,21.862204023500087,11.234,29.87,245.6,10,87
2019-05-20,24.30860534124629,8.425,20.97,204.8,0,87
2019-05-29,15.085858131798977,11.123,27.24,167.8,10,87
2019-06-15,17.37418196559912,17.267,42.46,300,10,87
2019-06-22,20.66652394205381,14.013,32.92,289.6,10,87
2019-06-23,25.16242555495398,7.388,18.54,185.9,10,87
2019-06-24,21.854575163398692,14.688,34.08,321,0,87
